source_name;source_label;relation_type;relation_subtype;target_name;target_label;chunk_id;evidence;halaman;frequency;weight;periode_bab
Kurz bin Jabir;PERSON;INVOLVED_IN;;Perang Safawan;EVENT;000114-004;...h, dan pembawanya adalah Sa d bin Abi Waqqash. 6. Perang Safawan. Pada bulan Rabi'ul Awwal 2 H bertepatan dengan bulan September 623 M, Kurs bin Jabir Al-Firhri bersama beberapa orang 151 Al-Mawahib A...;256-265;1;0.3;Perang As-Sawiq
Perang Safawan;EVENT;OCCURRED_AT;;Madinah;LOCATION;000114-004;...h, dan pembawanya adalah Sa d bin Abi Waqqash. 6. Perang Safawan. Pada bulan Rabi'ul Awwal 2 H bertepatan dengan bulan September 623 M, Kurs bin Jabir Al-Firhri bersama beberapa orang 151 Al-Mawahib Al-Laduniyyah, 1/75 musyrik menyerbu kandang hewan gembala di Madinah dan berhasil merampok domba-dombanya. Maka bersam...;256-265;1;0.2;Perang As-Sawiq
Perang Safawan;EVENT;OCCURRED_ON;;bulan Rabi'ul Awwal 2 H;TIME;000114-004;...h, dan pembawanya adalah Sa d bin Abi Waqqash. 6. Perang Safawan. Pada bulan Rabi'ul Awwal 2 H bertepatan dengan bulan September 623 M, Kurs bin...;256-265;1;0.4;Perang As-Sawiq
Zaid bin Haritsah;PERSON;INVOLVED_IN;;Perang Badr Ula;EVENT;000114-005;...agi tanpa ada peperangan. Perang ini bisa disebut Perang Badr Ula (pertama). Kali ini beliau mengangkat Zaid bin Haritsah sebagai wakil beliau di Madinah. Bendera perang b...;256-265;1;0.4;PERANG BADR KUBRA
Ali bin Abu Thalib;PERSON;INVOLVED_IN;;Perang Badr Ula;EVENT;000114-005;...agi tanpa ada peperangan. Perang ini bisa disebut Perang Badr Ula (pertama). Kali ini beliau mengangkat Zaid bin Haritsah sebagai wakil beliau di Madinah. Bendera perang berwana putih, dan pembawanya adalah Ali bin Abu Thalib. 7. Perang Dzul Usyairah. Pada bulan Jumadal Ula...;256-265;1;0.2;PERANG BADR KUBRA
Perang Badr Ula;EVENT;OCCURRED_ON;;bulan Jumada;TIME;000114-005;...agi tanpa ada peperangan. Perang ini bisa disebut Perang Badr Ula (pertama). Kali ini beliau mengangkat Zaid bin Haritsah sebagai wakil beliau di Madinah. Bendera perang berwana putih, dan pembawanya adalah Ali bin Abu Thalib. 7. Perang Dzul Usyairah. Pada bulan Jumadal Ula dan Jumadal Akhirah 2 H bertepatan dengan bu...;256-265;1;0.2;PERANG BADR KUBRA
Zaid bin Haritsah;PERSON;INVOLVED_IN;;Perang Dzul Usyairah;EVENT;000114-005;...ng Badr Ula (pertama). Kali ini beliau mengangkat Zaid bin Haritsah sebagai wakil beliau di Madinah. Bendera perang berwana putih, dan pembawanya adalah Ali bin Abu Thalib. 7. Perang Dzul Usyairah. Pada bulan Jumadal Ula dan Jumadal Akhirah 2 H b...;256-265;1;0.2;Perang Dumatul Jandal
Ali bin Abu Thalib;PERSON;INVOLVED_IN;;Perang Dzul Usyairah;EVENT;000114-005;...ndera perang berwana putih, dan pembawanya adalah Ali bin Abu Thalib. 7. Perang Dzul Usyairah. Pada bulan Jumadal Ula dan Jumadal Akhirah 2 H b...;256-265;1;0.4;Perang Dumatul Jandal
Muhammad;PERSON;INVOLVED_IN;;Perang Dzul Usyairah;EVENT;000114-005;...tih, dan pembawanya adalah Ali bin Abu Thalib. 7. Perang Dzul Usyairah. Pada bulan Jumadal Ula dan Jumadal Akhirah 2 H bertepatan dengan bulan November dan Desember 623 M, bersama 150 atau 200 Muhajirin, Rasulullah keluar untuk menghadang kafilah dari Quraisy yang...;256-265;1;0.2;Perang Dumatul Jandal
Perang Dzul Usyairah;EVENT;OCCURRED_ON;;bulan Jumada;TIME;000114-005;...tih, dan pembawanya adalah Ali bin Abu Thalib. 7. Perang Dzul Usyairah. Pada bulan Jumadal Ula dan Jumadal Akhirah 2 H bertepatan dengan bu...;256-265;1;0.4;Perang Dumatul Jandal
Kurz bin Jabir;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000114-009;...ataupun yang dipimpin Rasulullah sendiri sebelum Perang Badr. Dalam satu peperangan pun tidak terjadi perampasan harta dan juga tidak ada korban jiwa, kecuali dalam suatu insiden yang dilakukan orang-orang musyrik, di bawah pimpinan Kurz bin Jabir Al-Firhi, yang sebenarnya insiden itu pun bermula...;256-265;1;0.2;Satuan-satuan Pasukan Sebelum Perang Badr
Abdullah bin Jahsy;PERSON;INVOLVED_IN;;Perang Badr Beberapa;EVENT;000114-013;...haq dan batil. Insiden yang dipicu satuan pasukan Abdullah bin Jahsy merupakan pukulan yang telak terhadap kehormatan dan dominasi orang-orang Musyrik Insiden ini membuat mereka terluka lalu membiarkan mereka bergulung-gulung di atas bara api. Lokasi terjadinya Perang Badr Beberapa ayat yang memerintahkan perang, berarti menunjukk...;256-265;1;0.2;PERANG BADR KUBRA
Hakim bin Hizam;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000129-001;"...mata air melainkan pasti mereka terbunuh, kecuali Hakim bin Hizam. Dia tidak terbunuh dan setelah itu dia masuk Islam. Setiap kali berjuang di sisi beliau, dia pun berkata, ""Tidak. Demi yang telah menyelamatkan aku dari Perang Badr."" Setelah pasukan Quraisy agak tenang, mereka men...";277-279;1;0.2;Satuan-satuan Pasukan Sebelum Perang Badr
Umair bin Wahb;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000129-001 | 000148-001;"...a, ""Tidak. Demi yang telah menyelamatkan aku dari Perang Badr."" Setelah pasukan Quraisy agak tenang, mereka mengutus Umair bin Wahb Al-Jumahi untuk menyelidiki dan menaksir seberapa...";277-279 | 308-310;2;0.5;Satuan-satuan Pasukan Sebelum Perang Badr
Perang Badr;EVENT;OCCURRED_AT;;Madinah;LOCATION;000129-001 | 000153-002 | 000164-003 | 000215-002;"...a, ""Tidak. Demi yang telah menyelamatkan aku dari Perang Badr."" Setelah pasukan Quraisy agak tenang, mereka mengutus Umair bin Wahb Al-Jumahi untuk menyelidiki dan menaksir seberapa besar kekuatan pasukan Madinah. Maka Umair berputar-putar di sekitar pasukan Mus...";277-279 | 315-316 | 327-328 | 385-386;4;0.5;Satuan-satuan Pasukan Sebelum Perang Badr
Abdurrahman bin Auf;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000137-001;"...menyedot darahnya lewat tangan dua pemuda Anshar. Abdurrahman bin Auf menuturkan, ""Tatkala aku sedang berada di tengah barisan pada Perang Badr, aku menengok ke arah kiri dan kanan. Kulihat ada...";287-289;1;0.5;Satuan-satuan Pasukan Sebelum Perang Badr
Ukkasyah bin Mihshan;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000138-006;"...ngi daripada membiarkan mereka tetap hidup."" Pada Perang Badr itu pedang Ukkasyah bin Mihshan Al-Asadi patah Karena itu dia menemui Rasulullah...";289-293;1;0.5;Satuan-satuan Pasukan Sebelum Perang Badr
Mush'ab bin Umair;PERSON;INVOLVED_IN;;Perang Riddah;EVENT;000138-006;...erangan bersama beliau, hingga dia terbunuh dalam Perang Riddah, dan saat itu pun pedang tersebut masih tetap 8. Setelah peperangan usai, Mush'ab bin Umair Al-Abdari melewati saudaranya, Abu Aziz bin Umair...;289-293;1;0.3;Perang Burhan
Abu Aziz bin Umair;PERSON;INVOLVED_IN;;Perang Riddah;EVENT;000138-006;...erangan bersama beliau, hingga dia terbunuh dalam Perang Riddah, dan saat itu pun pedang tersebut masih tetap 8. Setelah peperangan usai, Mush'ab bin Umair Al-Abdari melewati saudaranya, Abu Aziz bin Umair yang sebelah tangannya sedang diikat seorang Ansh...;289-293;1;0.2;Perang Burhan
Al-Abbas bin Abdul Muththalib;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000140-001;"...ntu Rasulullah berkata, ""Dulu aku adalah pembantu Al-Abbas. Saat itu Islam sudah masuk kepada beberapa anggota keluarga. Al-Abbas masuk Islam, begitu pula Ummul Fadhl dan aku. Namun Al-Abbas menyembunyikan keislamannya. Saat Perang Badr, Abu Lahab tidak ikut serta. Ketika sudah ada kab...";295-297;1;0.4;Satuan-satuan Pasukan Sebelum Perang Badr
Abu Lahab;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000140-001;...Namun Al-Abbas menyembunyikan keislamannya. Saat Perang Badr, Abu Lahab tidak ikut serta. Ketika sudah ada kabar tentang...;295-297;1;0.5;Satuan-satuan Pasukan Sebelum Perang Badr
Perang Uhud;EVENT;OCCURRED_AT;;Madinah;LOCATION;000146-002 | 000154-001 | 000215-002;...tun mereka ke peperangan yang seru, tak jauh dari Madinah, yang dikenal dalam sejarah dengan Perang Uhud, yang kemudian menimbulkan pengaruh kurang menyed...;305-306 | 316 | 385-386;3;0.5;AKTIVITAS PASUKAN ANTARA PERANG BADR DAN PERANG UHUD
Siba bin Arfazhah;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000147-001;"...tujuh hari sepulang dari Badr. Beliau mengangkat Siba bin Arfazhah sebagai wakil beliau di Madinah. Namun menurut pendapat lain, dia adalah Ibnu Ummi Lokasi Perang Badr 163 Zadul-Ma'ad, 2/90; Sirah An-Nabawiyah, Ibnu H...";306-307;1;0.3;Satuan-satuan Pasukan Sebelum Perang Badr
Ibnu Ummi;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000147-001;"...Madinah. Namun menurut pendapat lain, dia adalah Ibnu Ummi Lokasi Perang Badr 163 Zadul-Ma'ad, 2/90; Sirah An-Nabawiyah, Ibnu H...";306-307;1;0.5;Satuan-satuan Pasukan Sebelum Perang Badr
Perang Badr;EVENT;OCCURRED_AT;;Badr;LOCATION;000147-001 | 000158-001;"...awwal 2 Hijriyah, selang tujuh hari sepulang dari Badr. Beliau mengangkat Siba bin Arfazhah sebagai wakil beliau di Madinah. Namun menurut pendapat lain, dia adalah Ibnu Ummi Lokasi Perang Badr 163 Zadul-Ma'ad, 2/90; Sirah An-Nabawiyah, Ibnu H...";306-307 | 324-325;2;0.2;Satuan-satuan Pasukan Sebelum Perang Badr
Perang Badr;EVENT;OCCURRED_ON;;bulan Syawwal 2 H;TIME;000147-001;"...ngkan Makkah ke Syam. Peperangan ini terjadi pada bulan Syawwal 2 Hijriyah, selang tujuh hari sepulang dari Badr. Beliau mengangkat Siba bin Arfazhah sebagai wakil beliau di Madinah. Namun menurut pendapat lain, dia adalah Ibnu Ummi Lokasi Perang Badr 163 Zadul-Ma'ad, 2/90; Sirah An-Nabawiyah, Ibnu H...";306-307;1;0.2;Satuan-satuan Pasukan Sebelum Perang Badr
Perang Badr;EVENT;OCCURRED_AT;;Makkah;LOCATION;000148-001 | 000158-001 | 000212-002;...kekalahan yang diderita orang-orang musyrik dalam Perang Badr, mereka semakin dibakar kebencian terhadap Nabi dan menjadikan Makkah mendidih layaknya periuk. Tidak heran jika kemudi...;308-310 | 324-325 | 377-379;3;0.5;Satuan-satuan Pasukan Sebelum Perang Badr
Shafwan bin Umayyah;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000148-001 | 000158-001 | 000212-004;...reka, yaitu Nabi Selang tak seberapa lama sesudah Perang Badr, Umair bin Wahb Al-Jumahi duduk-duduk di Hijir bersama Shafwan bin Umayyah. Umair adalah salah seorang pemimpin Quraisy yang...;308-310 | 324-325 | 377-379;3;0.5;Satuan-satuan Pasukan Sebelum Perang Badr
Wahb bin Umair;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000148-001;...dan para sahabat selagi masih di Makkah. Anaknya, Wahb bin Umair menjadi tawanan Perang Badr. Saat duduk itulah Umair menyebut orang-orang yan...;308-310;1;0.5;Satuan-satuan Pasukan Sebelum Perang Badr
Umar bin Al-Khaththab;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000148-002 | 000198-002 | 000318-002;...Setelah itu dia berangkat hingga tiba di Madinah. Umar bin Al-Khaththab yang sedang membicarakan kemuliaan yang dikaruniakan Allah di Perang Badr bersama beberapa orang Muslim, melihat kehadirann...;308-310 | 359-360 | 531-532;3;0.5;Satuan-satuan Pasukan Sebelum Perang Badr
Abdullah bin Abbas;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000151-002;"...lalu. Abu Dawud dan lain-lainya meriwayatkan dari Ibnu Abbas $, dia berkata. ""Setelah Rasulullah memperoleh kemenangan atas Quraisy pada Perang Badr dan kembali ke Madinah, maka beliau mengumpulkan...";312-314;1;0.3;Satuan-satuan Pasukan Sebelum Perang Badr
Abu Lubabah bin Abdul;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000153-002;...Terjadi pada bulan Dzul Hijjah, dua bulan setelah Perang Badr. Urusan di Madinah beliau serahkan kepada Abu Lubabah bin Abdul;315-316;1;0.4;Satuan-satuan Pasukan Sebelum Perang Badr
Perang Badr;EVENT;OCCURRED_ON;;bulan Dzul Hijjah;TIME;000153-002;...erangan ini disebut perang As-Sawiq. Terjadi pada bulan Dzul Hijjah, dua bulan setelah Perang Badr. Urusan di Madinah beliau serahkan kepada Abu Lub...;315-316;1;0.5;Satuan-satuan Pasukan Sebelum Perang Badr
Perang Uhud;EVENT;OCCURRED_ON;;bulan Muharram 3 H;TIME;000154-001;...kan paling besar yang dipimpin Rasulullah sebelum Perang Uhud. Kejadiannya pada bulan Muharram 3 H. Adapun sebabnya, karena mata-mata Madinah menyam...;316;1;0.4;AKTIVITAS PASUKAN ANTARA PERANG BADR DAN PERANG UHUD
Perang Uhud;EVENT;OCCURRED_ON;;bulan Jumada;TIME;000157-001;...upakan mobilitas pasukan terakhir sebelum meletus Perang Uhud. terjadi pada bulan Jumadal Akhirah 3 H Gambarannya, orang-orang Quraisy ter...;321-323;1;0.4;AKTIVITAS PASUKAN ANTARA PERANG BADR DAN PERANG UHUD
Perang Badr;EVENT;OCCURRED_ON;;bulan Jumada;TIME;000157-001;...erakhir sebelum meletus Perang Uhud. terjadi pada bulan Jumadal Akhirah 3 H Gambarannya, orang-orang Quraisy terus dibayangi keresahan dan kegalauan seusai Perang Badr. Tak lama kemudian tiba musim kemarau yang 169 Pe...;321-323;1;0.5;Satuan-satuan Pasukan Sebelum Perang Badr
Furat bin Hayyan;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000157-003;...pasukan, setelah mengambil seperlimanya. Kemudian Furat bin Hayyan masuk Islam di hadapan beliau. Tentu saja kejadian ini merupakan bencana besar yang menimpa Quraisy setelah Perang Badr. Mereka semakin resah, galau, dan sedih. Hanya ad...;321-323;1;0.2;Satuan-satuan Pasukan Sebelum Perang Badr
Perang Uhud Jabal;EVENT;OCCURRED_AT;;Uhud;LOCATION;000157-003;...ghadapi orang-orang Muslim. Inilah yang mengawali Perang Uhud Jabal Uhud;321-323;1;0.5;PERANG UHUD
Ikrimah bin Abu Jahal;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000158-001;...n paling getol mengadakan persiapan perang adalah Ikrimah bin Abu Jahl, Shafwan bin Umayyah, Abu Sufyan bin Harb dan Abdullah bin Abu Rabi'ah Tindakan pertama yang mereka lakukan dalam kesempatan ini ialah menghimpun kembali barang dagangan yang bisa diselamatkan Abu Sufyan dan yang menjadi sebab pecahnya Perang Badr. Mereka juga menghimbau kepada orang-orang yang b...;324-325;1;0.5;Satuan-satuan Pasukan Sebelum Perang Badr
Abdullah bin Abu Rabi'ah;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000158-001;...ahl, Shafwan bin Umayyah, Abu Sufyan bin Harb dan Abdullah bin Abu Rabi'ah Tindakan pertama yang mereka lakukan dalam kesempatan ini ialah menghimpun kembali barang dagangan yang bisa diselamatkan Abu Sufyan dan yang menjadi sebab pecahnya Perang Badr. Mereka juga menghimbau kepada orang-orang yang b...;324-325;1;0.5;Satuan-satuan Pasukan Sebelum Perang Badr
Hamzah bin Abdul Muththalib;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000164-003;...tokoh kelompok yang sangat berantusias ini adalah Hamzah bin Abdul Muththalib, paman Rasulullah , yang pada Perang Badr dia hanya menggantungkan pedangnya. Dia berkata k...;327-328;1;0.5;Satuan-satuan Pasukan Sebelum Perang Badr
Ali bin Abu Thalib;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000206-005 | 000375-001;"...llah. Dan, Allah mempunyai karunia yang besar. "" (Ali Rasulullah berada di Hamra'ul Asad tiga hari lagi, dan setelah itu kembali lagi ke Madinah. Sebelum kembali ke Madinah, beliau dapat menangkap Abu Azzah Al-Jumahi, yang pada saat Perang Badr menjadi tawanan, lalu dibebaskan Rasulullah karen...";368-373 | 611;2;0.5;Satuan-satuan Pasukan Sebelum Perang Badr
Abu Azzah;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000206-005;...ebelum kembali ke Madinah, beliau dapat menangkap Abu Azzah Al-Jumahi, yang pada saat Perang Badr menjadi tawanan, lalu dibebaskan Rasulullah karen...;368-373;1;0.5;Satuan-satuan Pasukan Sebelum Perang Badr
Abu Azzah;PERSON;INVOLVED_IN;;Perang Uhud;EVENT;000206-005;"...bantu seorang pun untuk memerangi beliau. Rupanya Abu Azzah ingkar janji, karena dia membangkitkan semangat orang-orang Quraisy dengan syair-syairnya untuk memerangi beliau dan orang- orang Muslim, dan bahkan ikut bergabung bersama pasukan Quraisy dalam Perang Uhud. Setelah tertangkap, dia berkata, ""Wahai Muhammad...";368-373;1;0.5;AKTIVITAS PASUKAN ANTARA PERANG BADR DAN PERANG UHUD
Abu Sufyan bin Harb;PERSON;INVOLVED_IN;;Perang Uhud;EVENT;000206-008 | 000215-002 | 000216-001 | 000385-003;...kin kuat setelah kita tahu keputusan yang diambil Abu Sufyan, karena dia mengetahui Rasulullah dan pasukan Muslimin menyusulnya hingga tiba di Hamra'ul Asad. Jadi Perang Uhud ini merupakan peperangan yang tidak tuntas, masin...;368-373 | 385-386 | 387 | 613-618;4;0.5;AKTIVITAS PASUKAN ANTARA PERANG BADR DAN PERANG UHUD
As'ad bin Zurarah;PERSON;INVOLVED_IN;;Perang Uhud;EVENT;000209-001;...abut eksistensinya. Belum genap dua bulan setelah Perang Uhud, Bani As'ad sudah menggelar persiapan untuk menyerang Madinah...;376-377;1;0.5;AKTIVITAS PASUKAN ANTARA PERANG BADR DAN PERANG UHUD
Perang Uhud;EVENT;OCCURRED_ON;;bulan Rabi'ul Awwal 4 H;TIME;000209-001;...senantiasa memperlihatkan permusuhan, hingga pada bulan Rabi'ul Awwal 4 H mereka melakukan konspirasi untuk membunuh Muhammad Bani Ghathan juga ikut-ikut latah untuk menyerang Madinah pada bulan Jumadil Ula Angin yang berhembus dari arah orang-orang mukmin seusai Perang Uhud menyebabkan mereka dikepung dari segala penjuru....;376-377;1;0.5;AKTIVITAS PASUKAN ANTARA PERANG BADR DAN PERANG UHUD
Perang Uhud;EVENT;OCCURRED_ON;;bulan Jumadil Ula;TIME;000209-001;...juga ikut-ikut latah untuk menyerang Madinah pada bulan Jumadil Ula Angin yang berhembus dari arah orang-orang mukmin seusai Perang Uhud menyebabkan mereka dikepung dari segala penjuru....;376-377;1;0.5;AKTIVITAS PASUKAN ANTARA PERANG BADR DAN PERANG UHUD
Abu Salamah bin Abdul Asad;PERSON;INVOLVED_IN;;Perang Uhud;EVENT;000210-001;...infeksi pada luka yang didapatakannya pada waktu Perang Uhud, tak lama kemudian Abu Salamah meninggal dunia;377;1;0.5;AKTIVITAS PASUKAN ANTARA PERANG BADR DAN PERANG UHUD
Perang Uhud;EVENT;OCCURRED_ON;;bulan Muharram 4 H;TIME;000210-001;...rang. Peristiwa ini terjadi tepat munculnya hilal bulan Muharram 4 H. Karena ada infeksi pada luka yang didapatakannya pada waktu Perang Uhud, tak lama kemudian Abu Salamah meninggal dunia;377;1;0.3;AKTIVITAS PASUKAN ANTARA PERANG BADR DAN PERANG UHUD
Zaid bin Haritsah;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000212-002 | 000212-004;...nolak, akhirnya orang itu dibunuh. Mereka membawa Zaid dan Khubaib ke Makkah dan menjualnya disana Padahal pada waktu Perang Badr, keduanya telah menghabisi sekian banyak para ban...;377-379;2;0.5;Satuan-satuan Pasukan Sebelum Perang Badr
Hujair bin Abu Ihab;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000212-002;...e Makkah dan menjualnya disana Padahal pada waktu Perang Badr, keduanya telah menghabisi sekian banyak para bangsawan Quraisy. Khubaib ditahan di Makkah dan dimasukan ke dalam penjara setelah dibeli Hujair bin Abu Ihab At-Tamimi, namun kemudian mereka sepakat untuk me...;377-379;1;0.2;Satuan-satuan Pasukan Sebelum Perang Badr
Zaid bin Ad-Dastinah;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000212-004;...Makkah saat itu tidak ada buah anggur. Sedangkan Zaid bin Ad-Datsinah dibeli Shafwan bin Umayyah, lalu dibunuhnya karena Zaid telah membunuh ayahnya Orang-orang Quraisy mengirim utusan untuk mendatangi jasad Ashim dan memotong sebagian tubuhnya, agar mereka dapat benar-benar meyakini kematiannya, karena Ashim telah membunuh sekian banyak pemuka dan bangsawan Quraisy pada waktu Perang Badr. Namun Allah mengutus sekumpulan lebah yang melin...;377-379;1;0.5;Satuan-satuan Pasukan Sebelum Perang Badr
Ka'b bin Zaid bin An-Najjar;PERSON;INVOLVED_IN;;Perang Khandaq;EVENT;000213-002;...mbunuh tanpa ada seorang pun yang tersisa, selain Ka'b bin Zaid bin An-Najjar. Dia pura-pura mati terkena tombak di tengah-tengah rekannya yang sudah mati, hingga dia bisa selamat dan tetap hidup sampai meletus Perang Khandaq.;380-382;1;0.2;Perang Burhan
Amr bin Umayyah;PERSON;INVOLVED_IN;;Perang Khandaq;EVENT;000213-003;...a dia bisa selamat dan tetap hidup sampai meletus Perang Khandaq. Sementara itu Amr bin Umayyah Adh-Dhamiri dan Al-Mundzir bin Uqbah bin Amir yan...;380-382;1;0.4;Perang Burhan
Al-Mundzir bin Uqbah bin Amir;PERSON;INVOLVED_IN;;Perang Khandaq;EVENT;000213-003;...a dia bisa selamat dan tetap hidup sampai meletus Perang Khandaq. Sementara itu Amr bin Umayyah Adh-Dhamiri dan Al-Mundzir bin Uqbah bin Amir yang sedang menggembalakan ternak orang-orang Mus...;380-382;1;0.4;Perang Burhan
Amr bin Umayyah;PERSON;INVOLVED_IN;;Perang Uhud;EVENT;000213-003;...n budak wanita yang mengaku dulunya milik ibunya. Amr bin Umayyah pergi ke Madinah hendak menemui Rasulullah membawa kabar yang menimpa tujuh puluh orang Muslim, dengan korban yang sama dengan Perang Uhud. Hanya saja dalam Perang Uhud mereka jelas pergi...;380-382;1;0.5;AKTIVITAS PASUKAN ANTARA PERANG BADR DAN PERANG UHUD
Ka'b bin Al-Asyraf;PERSON;INVOLVED_IN;;Perang Bani Qainuqa';EVENT;000214-001;...ntara mereka dan kaum muslimin, sekalipun setelah Perang Bani Qainuqa' dan terbunuhnya Ka'b bin Al-Asyraf mereka selalu dicekam ketakutan dan lebih memilih...;382-385;1;0.5;Perang Bani Qainuqa’
Ka'b bin Al-Asyraf;PERSON;INVOLVED_IN;;Perang Uhud;EVENT;000214-001;...ipun setelah Perang Bani Qainuqa' dan terbunuhnya Ka'b bin Al-Asyraf mereka selalu dicekam ketakutan dan lebih memilih diam Tetapi setelah Perang Uhud mereka menjadi lancang, berani menampakkan permus...;382-385;1;0.5;AKTIVITAS PASUKAN ANTARA PERANG BADR DAN PERANG UHUD
Perang Bani Nadhir;EVENT;OCCURRED_ON;;bulan Rabi'ul Awwal 4 H;TIME;000214-007;...at perang sebagai persediaan perang.f sabilillah. Perang Bani Nadhir ini terjadi pada bulan Rabi'ul Awwal 4 H, bertepatan dengan bulan Agustus 625 M. Allah men...;382-385;1;0.5;Perang Bani Nadhir
Perang Bani Nadhir;EVENT;OCCURRED_AT;;Madinah;LOCATION;000215-001;...emenangan yang diperoleh orang-orang Muslim dalam Perang Bani Nadhir tanpa pengorbanan apa pun, pengaruh kekuasaan mereka di Madinah semakin kokoh. Saat ini orang-orang munafik juga...;385-386;1;0.5;Perang Bani Nadhir
Abu Hurairah;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000215-002;...ilangkan terlebih sebelum kaum Muslimin terjun ke Perang Badr (yang kedua). Tidak benar Perang Dzatur Riqa' yang dikomandani Rasulullah terjadi pada bulan Rabi'ul Awwal atau Jumadil Ula itu. Sebab Abu Hurairah dan Abu Musa Al-Asy ari ikut bergabung dalam pepe...;385-386;1;0.2;Satuan-satuan Pasukan Sebelum Perang Badr
Abu Musa;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000215-002;...ilangkan terlebih sebelum kaum Muslimin terjun ke Perang Badr (yang kedua). Tidak benar Perang Dzatur Riqa' yang dikomandani Rasulullah terjadi pada bulan Rabi'ul Awwal atau Jumadil Ula itu. Sebab Abu Hurairah dan Abu Musa Al-Asy ari ikut bergabung dalam peperangan itu. P...;385-386;1;0.2;Satuan-satuan Pasukan Sebelum Perang Badr
Perang Badr;EVENT;OCCURRED_ON;;bulan Rabi'ul Awwal;TIME;000215-002;...ilangkan terlebih sebelum kaum Muslimin terjun ke Perang Badr (yang kedua). Tidak benar Perang Dzatur Riqa' yang dikomandani Rasulullah terjadi pada bulan Rabi'ul Awwal atau Jumadil Ula itu. Sebab Abu Hurairah dan Abu...;385-386;1;0.3;Satuan-satuan Pasukan Sebelum Perang Badr
Perang Badr;EVENT;OCCURRED_ON;;Jumadil Ula;TIME;000215-002;...ilangkan terlebih sebelum kaum Muslimin terjun ke Perang Badr (yang kedua). Tidak benar Perang Dzatur Riqa' yang dikomandani Rasulullah terjadi pada bulan Rabi'ul Awwal atau Jumadil Ula itu. Sebab Abu Hurairah dan Abu Musa Al-Asy ari i...;385-386;1;0.2;Satuan-satuan Pasukan Sebelum Perang Badr
Muhammad;PERSON;INVOLVED_IN;;Perang Dzatur Riqa';EVENT;000215-002 | 000284-001;...n terjun ke Perang Badr (yang kedua). Tidak benar Perang Dzatur Riqa' yang dikomandani Rasulullah terjadi pada bulan Rabi'ul Awwal atau Jumadil Ula...;385-386 | 493-497;2;0.5;Perang Dzatur Riqa’
Abu Hurairah;PERSON;INVOLVED_IN;;Perang Dzatur Riqa';EVENT;000215-002 | 000284-001;...n terjun ke Perang Badr (yang kedua). Tidak benar Perang Dzatur Riqa' yang dikomandani Rasulullah terjadi pada bulan Rabi'ul Awwal atau Jumadil Ula itu. Sebab Abu Hurairah dan Abu Musa Al-Asy ari ikut bergabung dalam pepe...;385-386 | 493-497;2;0.3;Perang Dzatur Riqa’
Abu Musa;PERSON;INVOLVED_IN;;Perang Dzatur Riqa';EVENT;000215-002 | 000284-001;...n terjun ke Perang Badr (yang kedua). Tidak benar Perang Dzatur Riqa' yang dikomandani Rasulullah terjadi pada bulan Rabi'ul Awwal atau Jumadil Ula itu. Sebab Abu Hurairah dan Abu Musa Al-Asy ari ikut bergabung dalam peperangan itu. P...;385-386 | 493-497;2;0.3;Perang Dzatur Riqa’
Perang Dzatur Riqa';EVENT;OCCURRED_ON;;bulan Rabi'ul Awwal;TIME;000215-002;...n terjun ke Perang Badr (yang kedua). Tidak benar Perang Dzatur Riqa' yang dikomandani Rasulullah terjadi pada bulan Rabi'ul Awwal atau Jumadil Ula itu. Sebab Abu Hurairah dan Abu...;385-386;1;0.5;Perang Dzatur Riqa’
Perang Dzatur Riqa';EVENT;OCCURRED_ON;;Jumadil Ula;TIME;000215-002;...n terjun ke Perang Badr (yang kedua). Tidak benar Perang Dzatur Riqa' yang dikomandani Rasulullah terjadi pada bulan Rabi'ul Awwal atau Jumadil Ula itu. Sebab Abu Hurairah dan Abu Musa Al-Asy ari i...;385-386;1;0.5;Perang Dzatur Riqa’
