entitas;pola;jumlah;contoh;Label  Baru;konteks;sumber
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;"[usul:LOCATION?] Ditambah lagi pengaruh racun yang disusupkan dalam daging oleh wanita Yahudi yang beliau makan sewaktu di Khaibar, hingga beliau bersabda, ""Wahai Aisyah, aku masih merasakan sakit ";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;"[usul:LOCATION?] Ditambah lagi pengaruh racun yang disusupkan dalam daging oleh wanita Yahudi yang beliau makan sewaktu di Khaibar, hingga beliau bersabda, ""Wahai Aisyah, aku masih merasakan sakit ";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:?] Dia berasal dari Bani Israil, yang sebelumnya dia salah seorang dari tawanan Khaibar.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:EVENT?] membebaskannya dan menikahinya setelah penaklukkan Khaibar pada tahun 7 H.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khandaq;;[usul:?] Dengan mengompromikan beberapa buku rujukan, dapat diambil kesimpulan bahwa permulaan pengepungan pada bulan Syawwal dan berakhir pada bulan Dzul Qa'dah Menurut riwayat Ibnu Sa'd, ;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khandaq;;[usul:?] Dengan mengompromikan beberapa buku rujukan, dapat diambil kesimpulan bahwa permulaan pengepungan pada bulan Syawwal dan berakhir pada bulan Dzul Qa'dah Menurut riwayat Ibnu Sa'd, ;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Tabuk;LOCATION;"[usul:LOCATION?] "" Pada hari Kamis, Rasulullah mulai bergerak ke arah utara dengan tujuan Tabuk.";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Tabuk;LOCATION;[usul:LOCATION?] Karena itu pasukan ini disebut dengan Jaisyul Usrah (pasukan yang keadaannya sulit) Dalam perjalanan ke Tabuk, pasukan Islam ini melewati Al-Hijr.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Tabuk;LOCATION;[usul:LOCATION?] Karena itu pasukan ini disebut dengan Jaisyul Usrah (pasukan yang keadaannya sulit) Dalam perjalanan ke Tabuk, pasukan Islam ini melewati Al-Hijr.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Tabuk;LOCATION;"[usul:LOCATION?] Saat perjalanan sudah mendekati Tabuk, beliau bersabda, ""Insya Allah besok kalian sudah sampai di mata air Tabuk.";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Tabuk;LOCATION;"[usul:LOCATION?] Saat perjalanan sudah mendekati Tabuk, beliau bersabda, ""Insya Allah besok kalian sudah sampai di mata air Tabuk.";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Tabuk;LOCATION;[usul:LOCATION?] Pasukan Islam tiba di Tabuk dan berkubu di sana.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Tabuk;LOCATION;[usul:LOCATION?] Bersama Yuhannah, dia menyetuju perjanjian yang berlaku untuk penduduk Dumah, Tabuk, Ailah, dan Taima'.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Tabuk;LOCATION;[usul:EVENT?] Pasukan Islam meninggalkan Tabuk dengan membawa kemenangan, tanpa mengalami tekanan sedikit pun.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Tabuk;LOCATION;[usul:?] Sebagian turun sebelum keberangkatan ke Tabuk dan sebagian yang lain turun setelah keberangkatan, tepatnya ada yang turun saat perjalanan dan sebagian yang lain turun sekembali ke ;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Tabuk;LOCATION;[usul:?] Pada tahun ini terjadi beberapa peristiwa penting dalam sejarah seperti: Setelah Rasulullah pulang dari Tabuk, terjadi li'an antara Uwaimir dan istrinya.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Tabuk;LOCATION;[usul:?] Pemimpin orang-orang munafik, Abdullan bin Ubay bin Salul, meninggal setelah Rasulullah pulang dari Tabuk.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Tabuk;LOCATION;[usul:LOCATION?] Salah satu benteng di Tabuk;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Tabuk;LOCATION;[usul:?] Mereka datang pada bulan Ramadhan 9 H, sepulang Rasulullah dari Tabuk.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Uhud;;[usul:EVENT?] Pasukan musyrikin mengambil tempat yang menghalangi pasukan Muslimin dengan bukit Uhud.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Uhud;;"[usul:LOCATION?] "" Lalu dia memilil jalan yang lebih pendek ke Uhud, melewati tanah dan perkebunan milik Bani Haritsah, berjalan ke arah barat meninggalkan pasukan musyrikin.";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Uhud;;"[usul:LOCATION?] "" Rasulullah meneruskan perjalanan hingga tiba di kaki bukit Uhud Pasukan Muslimin mengambil tempat dengan posisi menghadap ke arah Madinah dengan memunggungi Uhud.";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Uhud;;"[usul:LOCATION?] "" Rasulullah meneruskan perjalanan hingga tiba di kaki bukit Uhud Pasukan Muslimin mengambil tempat dengan posisi menghadap ke arah Madinah dengan memunggungi Uhud.";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Uhud;;[usul:LOCATION?] Kini di hadapan beliau hanya ada dua jalan, entah segera lari menyelamatkan diri bersama para sahabatnya yang hanya sembilan orang itu ke suatu tempat yang lebih aman, lalu membiar;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Uhud;;[usul:LOCATION?] Aku bisa mencium baunya dari arah Uhud.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Uhud;;[usul:EVENT?] Dengan begitu, dosa orang-orang Mukmin terhapus dan dosa orang-orang kafir semakin menumpuk Gunung Uhud Jabal Ar-Rumah, lokasi yang digunakan pasukan pemanah;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Uhud;;[usul:?] Yang pertama kali melakukan perlawanan terhadap orang-orang Muslim setelah tragedi Uhud adalah Bani As'ad bin Khuzaimah.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Uhud;;[usul:LOCATION?] Pasukan Quraisy yang berkekuatan 4000 personil tiba di Mujtama'ul Asyal di kawasan Rumat, tepatnya antara Juruf dan Sedangkan Kabilah Ghathafan dan penduduk Najd yang berkekuatan 6;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Uhud;;[usul:LOCATION?] Sedangkan Ghathafan dengan semua pemimpinnya kusuruh bermarkas di Dzanab Naqami dekat Uhud.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Uhud;;[usul:?] Demi Allah, andaikan Uhud ini gunung emas kemudian engkau menafkahkan 249 Shahih Al-Bukhari, 1/450-622.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Uhud;;"[usul:LOCATION?] "" (At- Taubah: 74) Ketika tanda-tanda daerah Madinah sudah tampak dari kejauhan, beliau bersabda, ""Itu adalah Gunung Uhud.";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Uhud;;[usul:LOCATION?] Pada awal-awal bulan Shafar tahun 11 H, Rasulullah pergi ke Uhud, lalu shalat atas orang-orang yang mati syahid di sana, layaknya orang yang hendak berpisah dengan orang yang masih;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Uhud;EVENT;[usul:EVENT?] Sedangkan Fathimah dinikahi Ali bin Abu Thalib pada waktu antara Perang Badr dan Uhud.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Uhud;EVENT;[usul:EVENT?] Dia ditinggal mati suaminya, Khunais bin Hudzafah As-Sahmi, pada waktu antara Perang Badr dan Uhud, lalu dinikahi Rasulullah pada tahun 3 H;gold
